"id","name","description","price","image","category_id","stock"
"1","Rolex Submariner Date","Biểu tượng của sự sang trọng và chính xác. Chống nước đến 300 mét.","350000000","images/rolex-sub.jpg","5","10"
"2","Omega Seamaster Diver 300M","Đồng hồ của điệp viên James Bond. Mạnh mẽ, nam tính và đáng tin cậy.","155000000","images/omega-sea.jpg","5","15"
"3","TAG Heuer Carrera Chronograph","Lấy cảm hứng từ những cuộc đua xe huyền thoại. Thiết kế thể thao và đẳng cấp.","130000000","images/tag-carrera.jpg","5","100"
"4","Patek Philippe Nautilus","Thiết kế độc đáo với vành bezel hình bát giác bo tròn.","2500000000","images/patek-nau.jpg","5","5"
"5","Audemars Piguet Royal Oak","Một trong những chiếc đồng hồ thể thao xa xỉ đầu tiên trên thế giới.","800000000","images/ap-royal.jpg","5","8"
"6","Longines HydroConquest","Kết hợp giữa sự thanh lịch và hiệu suất cao. Phù hợp cho các hoạt động dưới nước.","40000000","images/longines-hydro.jpg","5","30"
"7","Tissot PRX Powermatic 80","Thiết kế cổ điển thập niên 70 với bộ máy tự động có khả năng trữ cót 80 giờ.","20000000","images/tissot-prx.jpg","5","50"
"8","Seiko Prospex SPB143","Sự tái hiện của chiếc đồng hồ lặn đầu tiên của Seiko năm 1965.","28000000","images/seiko-prospex.jpg","5","40"
"9","Hamilton Khaki Field Mechanical","Đồng hồ quân đội cổ điển, bền bỉ và dễ đọc.","15000000","images/hamilton-khaki.jpg","5","60"
"10","Casio G-Shock GW-5000U-1JF","Bền bỉ tuyệt đối, chống sốc và chống nước 200M, có pin năng lượng mặt trời.","8000000","images/gshock-gw5000.jpg","5","100"
"11","Cartier Tank Must SolarBeat","Thiết kế thanh lịch, cổ điển của dòng Tank với bộ máy năng lượng mặt trời.","75000000","images/cartier-tank.jpg","4","12"
"12","Rolex Lady-Datejust","Vẻ đẹp vượt thời gian, là biểu tượng của sự nữ tính và sang trọng.","280000000","images/rolex-lady.jpg","4","18"
"13","Omega Constellation Manhattan","Thiết kế đặc trưng với bốn vấu ""griffes"" và mặt số tinh xảo.","180000000","images/omega-constellation.jpg","4","22"
"14","Jaeger-LeCoultre Reverso Classic","Thiết kế mặt số lật độc đáo, mang tính biểu tượng của nghệ thuật chế tác đồng hồ.","210000000","images/jlc-reverso.jpg","4","9"
"15","Chopard Happy Sport","Những viên kim cương nhảy múa tự do giữa hai lớp kính sapphire.","150000000","images/chopard-happy.jpg","4","15"
"16","Longines La Grande Classique","Thiết kế siêu mỏng, thanh lịch và tinh tế.","35000000","images/longines-grande.jpg","4","40"
"17","Tissot Le Locle Automatic Lady","Vẻ đẹp cổ điển mang tên thị trấn nơi Tissot được khai sinh.","18000000","images/tissot-lelocle.jpg","4","55"
"18","Michael Kors Parker","Thiết kế thời trang, lấp lánh với viền đá pha lê.","7000000","images/mk-parker.jpg","4","80"
"19","Daniel Wellington Petite","Thiết kế tối giản, hiện đại và dễ dàng phối đồ.","4000000","images/dw-petite.jpg","4","120"
"20","Fossil Jacqueline","Phong cách vintage với chữ số La Mã và mặt số tinh tế.","3500000","images/fossil-jac.jpg","4","90"
"21","Apple Watch Series 9","Đồng hồ thông minh hàng đầu với các tính năng sức khỏe và kết nối tiên tiến.","11000000","images/apple-watch9.jpg","6","200"
"22","Samsung Galaxy Watch 6 Classic","Thiết kế cổ điển với viền bezel xoay vật lý, hệ điều hành Wear OS mạnh mẽ.","9000000","images/galaxy-watch6.jpg","6","180"
"23","Garmin Fenix 7 Pro","Đồng hồ thể thao chuyên dụng, pin năng lượng mặt trời, GPS đa băng tần.","22000000","images/garmin-fenix7.jpg","6","70"
"24","Fitbit Sense 2","Tập trung vào theo dõi sức khỏe toàn diện: giấc ngủ, căng thẳng, và hoạt động.","7500000","images/fitbit-sense2.jpg","6","150"
"25","Huawei Watch GT 4","Thời lượng pin ấn tượng, thiết kế thời trang và nhiều chế độ luyện tập.","6000000","images/huawei-gt4.jpg","6","160"
"26","Amazfit GTR 4","GPS băng tần kép chính xác, thiết kế đẹp và giá cả phải chăng.","4500000","images/amazfit-gtr4.jpg","6","130"
"27","Citizen Eco-Drive Chandler","Công nghệ Eco-Drive chuyển hóa mọi nguồn sáng thành năng lượng.","6500000","images/citizen-eco.jpg","5","75"
"28","Orient Bambino Version 7","Đồng hồ dress watch cổ điển với mặt kính cong quyến rũ.","5500000","images/orient-bambino.jpg","5","85"
"29","Bulova Lunar Pilot","Tái hiện chiếc đồng hồ đã cùng phi hành gia Apollo 15 lên mặt trăng.","14000000","images/bulova-lunar.jpg","5","45"
"30","Skagen Grenen Solar Halo","Thiết kế tối giản theo phong cách Đan Mạch, sử dụng năng lượng mặt trời.","4200000","images/skagen-grenen.jpg","4","65"
